LANG	FEATURAL	GEOGRAPHIC	GENETIC	SYNTACTIC	INVENTORY	PHONOLOGICAL	AVG	TRAIN
Chinese/zh	0.584	1.000	1.000	0.565	0.598	0.569	0.855	0
Persian/fa	0.584	1.000	1.000	0.565	0.598	0.569	0.855	0
Arabic/ar	0.584	1.000	1.000	0.565	0.598	0.569	0.855	0
Komi/kpv	0.584	1.000	1.000	0.565	0.598	0.569	0.855	0
Warlpiri/wbp	0.825	0.726	1.000	0.706	0.598	0.569	0.811	0
Tagalog/tl	0.533	0.539	1.000	0.656	0.461	0.343	0.732	0
Kazakh/kk	0.916	0.249	1.000	0.898	0.598	0.805	0.715	0
Telugu/te	0.549	0.393	1.000	0.742	0.452	0.350	0.712	0
Sanskrit/sa	0.683	0.372	0.900	0.863	0.555	0.569	0.712	0
Tamil/ta	0.613	0.419	1.000	0.710	0.501	0.569	0.710	0
Japanese/ja	0.588	0.467	1.000	0.656	0.547	0.503	0.708	0
Indonesian/id	0.462	0.601	1.000	0.515	0.455	0.274	0.705	0
Korean/ko	0.544	0.440	1.000	0.618	0.487	0.464	0.686	0
Vietnamese/vi	0.494	0.475	1.000	0.568	0.455	0.427	0.681	0
Thai/th	0.467	0.475	1.000	0.555	0.415	0.390	0.677	0
Marathi/mr	0.583	0.380	0.900	0.697	0.451	0.569	0.659	0
Amharic/am	0.543	0.291	1.000	0.613	0.492	0.482	0.635	0
Urdu/ur	0.592	0.318	0.900	0.675	0.492	0.569	0.631	0
Yoruba/yo	0.551	0.256	1.000	0.609	0.509	0.535	0.622	0
Turkish/tr	0.581	0.147	1.000	0.703	0.518	0.343	0.617	0
Hindi/hi	0.503	0.351	0.900	0.586	0.468	0.343	0.612	0
Coptic/cop	0.789	0.185	1.000	0.641	0.598	0.569	0.609	0
Croatian/hr	0.637	0.078	0.900	0.793	0.509	0.569	0.590	0
Belarusian/be	0.854	0.088	0.900	0.757	0.598	0.569	0.582	0
Armenian/hy	0.576	0.186	0.900	0.657	0.506	0.503	0.581	0
Hebrew/he	0.574	0.189	1.000	0.521	0.555	0.569	0.570	0
Hungarian/hu	0.509	0.081	1.000	0.596	0.458	0.343	0.559	0
Afrikaans/af	0.589	0.443	0.600	0.628	0.514	0.569	0.557	0
Latin/la	0.815	0.079	0.900	0.688	0.598	0.569	0.556	0
Lithuanian/lt	0.547	0.082	0.900	0.680	0.469	0.350	0.554	0
Basque/eu	0.596	0.054	1.000	0.607	0.621	0.350	0.554	0
Galician/gl	0.597	0.064	0.900	0.674	0.500	0.569	0.546	0
Finnish/fi	0.477	0.099	1.000	0.528	0.469	0.274	0.542	0
Czech/cs	0.617	0.058	0.900	0.665	0.537	0.569	0.541	0
Estonian/et	0.737	0.081	1.000	0.542	0.598	0.569	0.541	0
Russian/ru	0.510	0.232	0.900	0.490	0.559	0.280	0.541	0
Serbian/sr	0.775	0.096	0.900	0.622	0.598	0.863	0.540	0
Gothic/got	0.802	0.115	0.800	0.666	0.598	0.569	0.527	0
Latvian/lv	0.701	0.083	0.900	0.595	0.598	0.343	0.526	0
Polish/pl	0.541	0.067	0.900	0.587	0.547	0.280	0.518	0
Breton/br	0.502	0.028	0.900	0.615	0.442	0.343	0.514	0
Irish/ga	0.587	0.022	0.900	0.618	0.519	0.569	0.513	0
Slovak/sk	0.584	0.073	0.900	0.565	0.598	0.569	0.513	0
Romanian/ro	0.500	0.097	0.900	0.534	0.500	0.350	0.510	0
Slovenian/sl	0.535	0.068	0.900	0.562	0.455	0.569	0.510	0
Ukrainian/uk	0.521	0.093	0.900	0.509	0.466	0.569	0.501	0
Catalan/ca	0.469	0.064	0.900	0.530	0.458	0.280	0.498	0
Bulgarian/bg	0.486	0.109	0.900	0.484	0.521	0.280	0.498	0
Italian/it	0.541	0.075	0.900	0.509	0.506	0.569	0.495	0
Portuguese/pt	0.484	0.062	0.900	0.473	0.424	0.569	0.478	0
French/fr	0.463	0.030	0.900	0.457	0.475	0.427	0.462	0
Spanish/es	0.473	0.070	0.900	0.399	0.548	0.343	0.456	0
Faroese/fo	0.771	0.053	0.700	0.607	0.598	0.569	0.453	0
Norwegian/no	0.760	0.051	0.700	0.587	0.598	0.569	0.446	0
Danish/da	0.717	0.035	0.700	0.502	0.598	0.569	0.413	0
Swedish/swl	0.523	0.068	0.700	0.424	0.524	0.569	0.397	0
Dutch/nl	0.525	0.021	0.600	0.494	0.486	0.569	0.372	0
German/de	0.420	0.053	0.600	0.420	0.436	0.328	0.358	0
English/en	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
