LANG FEATURAL	GEOGRAPHIC	GENETIC	SYNTACTIC	INVENTORY	PHONOLOGICAL	
Arabic/ar	0.584	1.000	1.000	0.565	0.598	0.569	
Bulgarian/bg	0.486	0.109	0.900	0.484	0.521	0.280	
Catalan/ca	0.469	0.064	0.900	0.530	0.458	0.280	
Chinese/zh	0.584	1.000	1.000	0.565	0.598	0.569	
Croatian/hr	0.637	0.078	0.900	0.793	0.509	0.569	
Czech/cs	0.617	0.058	0.900	0.665	0.537	0.569	
Danish/da	0.717	0.035	0.700	0.502	0.598	0.569	
Dutch/nl	0.525	0.021	0.600	0.494	0.486	0.569	
English/en	0.000	0.000	0.000	0.000	0.000	0.000	
Estonian/et	0.737	0.081	1.000	0.542	0.598	0.569	
Finnish/fi	0.477	0.099	1.000	0.528	0.469	0.274	
French/fr	0.463	0.030	0.900	0.457	0.475	0.427	
German/de	0.420	0.053	0.600	0.420	0.436	0.328	
Hebrew/he	0.574	0.189	1.000	0.521	0.555	0.569	
Hindi/hi	0.503	0.351	0.900	0.586	0.468	0.343	
Indonesian/id	0.462	0.601	1.000	0.515	0.455	0.274	
Italian/it	0.541	0.075	0.900	0.509	0.506	0.569	
Japanese/ja	0.588	0.467	1.000	0.656	0.547	0.503	
Korean/ko	0.544	0.440	1.000	0.618	0.487	0.464	
Latin/la	0.815	0.079	0.900	0.688	0.598	0.569	
Latvian/lv	0.701	0.083	0.900	0.595	0.598	0.343	
Polish/pl	0.541	0.067	0.900	0.587	0.547	0.280	
Portuguese/pt	0.484	0.062	0.900	0.473	0.424	0.569	
Romanian/ro	0.500	0.097	0.900	0.534	0.500	0.350	
Russian/ru	0.510	0.232	0.900	0.490	0.559	0.280	
Slovak/sk	0.584	0.073	0.900	0.565	0.598	0.569	
Slovenian/sl	0.535	0.068	0.900	0.562	0.455	0.569	
Spanish/es	0.473	0.070	0.900	0.399	0.548	0.343	
Swedish/sv	0.523	0.068	0.700	0.424	0.524	0.569	
Ukrainian/uk	0.521	0.093	0.900	0.509	0.466	0.569	
