Arabic ar PADT
Bulgarian bg BTB
Catalan ca AnCora
Chinese zh GSD
Croatian hr SET
Czech cs PDTCACCLTTFicTree
Danish da DDT
Dutch nl AlpinoLassySmall
English en EWT
Estonian et EDT
Finnish fi TDT
French fr GSD
German de GSD
Hebrew he HTB
Hindi hi HDTB
Indonesian id GSD
Italian it ISDT
Japanese ja GSD
Korean ko GSDKaist
Latin la PROIEL
Latvian lv LVTB
Polish pl LFGSZ
Portuguese pt BosqueGSD
Romanian ro RRT
Russian ru SynTagRus
Slovak sk SNK
Slovenian sl SSJSST
Spanish es GSDAnCora
Swedish sv Talbanken
Ukrainian uk IU
Persian fa Seraji
Afrikaans af AfriBooms
Tamil ta TTB
Telugu te MTG
Marathi mr UFAL
Urdu ur UDTB
Tagalog tl TRG
Vietnamese vi VTB
Kazakh kk KTB
Turkish tr IMST
Belarusian be HSE
Armenian hy ArmTDP
Hungarian hu Szeged
